昆虫ID,分類群,大図鑑カタログNo,科名,科和名,亜科名,亜科和名,族名,族和名,亜族名,亜族名_1,属名,亜属名,種小名,亜種小名,著者,公表年,類似種,和名,旧和名,別名,その他の和名,亜種範囲,標準図鑑ステータス,標準図鑑以後の変更,学名,主要食草1,主要食草科1,観察タイプ1,利用部位1,利用ステージ1,出典1,食草備考1,主要食草2,主要食草科2,観察タイプ2,利用部位2,利用ステージ2,出典2,食草備考2,主要食草3,主要食草科3,観察タイプ3,利用部位3,利用ステージ3,出典3,食草備考3,主要食草4,主要食草科4,観察タイプ4,利用部位4,利用ステージ4,出典4,食草備考4,主要食草5,主要食草科5,観察タイプ5,利用部位5,利用ステージ5,出典5,食草備考5,主要食草6,主要食草科6,観察タイプ6,利用部位6,利用ステージ6,出典6,食草備考6,主要食草7,主要食草科7,観察タイプ7,利用部位7,利用ステージ7,出典7,食草備考7,主要食草8,主要食草科8,観察タイプ8,利用部位8,利用ステージ8,出典8,食草備考8,主要食草9,主要食草科9,観察タイプ9,利用部位9,利用ステージ9,出典9,食草備考9,主要食草10,主要食草科10,観察タイプ10,利用部位10,利用ステージ10,出典10,食草備考10,発生時期1,発生時期出典1,発生地域1,発生時期備考1,発生時期2,発生時期出典2,発生地域2,発生時期備考2,幼虫期1,幼虫期出典1,幼虫期備考1,追加食草有無,データソース,総合備考,亜族和名
M4546,蛾類,3056,Sphingidae,スズメガ科,Macroglossinae,ホウジャク亜科,,,,,Hyles,,livornica,,(Esper),1779,,アカオビスズメ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M4547,蛾類,3057,Sphingidae,スズメガ科,Macroglossinae,ホウジャク亜科,,,,,Deilephila,,elpenor,,(Linnaeus),1758,,ベニスズメ,ベニスズメ,,,,,,,ミソハギ,ミソハギ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,ホウセンカ,サトイモ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,ツリフネソウなどのツリフネソウ科,サトイモ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,マムシグサ,サトイモ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,テンナンショウ,サトイモ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,カワラマツバ,アカネ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,ヤナギラン,アカバナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,オオマツヨイグサ,アカバナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M4548,蛾類,3058,Sphingidae,スズメガ科,Macroglossinae,ホウジャク亜科,,,,,Deilephila,,askoldensis,,(Oberthür),1879,,ヒメスズメ,,,,,,,,カワラマツバ,アカネ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,キバナカワラマツバ  が記録されている。,アカネ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M4549,蛾類,,Sphingidae,スズメガ科,Macroglossinae,ホウジャク亜科,,,,,Hippotion,,celerio,,(Linnaeus),1758,,シタベニセスジスズメ,,,,,,,,タイモ,サトイモ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,クワズイモ  が記録されている。,サトイモ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M4550,蛾類,,Sphingidae,スズメガ科,Macroglossinae,ホウジャク亜科,,,,,Hippotion,,echeclus,,(Boisduval),[1875],,モトグロシタベニスズメ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M4551,蛾類,3060,Sphingidae,スズメガ科,Macroglossinae,ホウジャク亜科,,,,,Hippotion,,boerhaviae,,(Fabricius),1775,,コシタベニスズメ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M4552,蛾類,,Sphingidae,スズメガ科,Macroglossinae,ホウジャク亜科,,,,,Hippotion,,rosetta,,Swinhoe,1892,,マメシタベニスズメ,,,,,,,,フタバムグラ,アカネ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,国外では,アカネ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,ヤエヤマアオキ,アカネ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,クササンタンカ  が記録されている。,アカネ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M4553,蛾類,3059,Sphingidae,スズメガ科,Macroglossinae,ホウジャク亜科,,,,,Hippotion,,velox,,(Fabricius),1793,,オバナワスズメ,,,,,,,"Hippotion velox (Fabricius, 1793)",ウドノキ,オシロイバナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,クワズイモ,サトイモ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,ヒルガオ科,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M4554,蛾類,3063,Sphingidae,スズメガ科,Macroglossinae,ホウジャク亜科,,,,,Theretra,,alecto,,(Linnaeus),1758,,シタベニスズメ,,,,,,,"Theretra alecto (Linnaeus, 1758)",エビヅル,ブドウ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,ノブドウ,ブドウ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,アカネ科,ブドウ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,エビヅル,ブドウ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,国外では,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,アカネ科の記録がある。,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M4555,蛾類,3062,Sphingidae,スズメガ科,Macroglossinae,ホウジャク亜科,,,,,Theretra,,clotho,,(Drury),1773,,サツマスズメ,サツマスズメ,,,,,,"Theretra clotho (Drury, 1773)",エビヅル,ブドウ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,ノブドウ,ブドウ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,サトイモ科,ブドウ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,アオイ科,ブドウ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,マタタビ科,ブドウ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,シュウカイドウ科,ブドウ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,ビワモドキ科,ブドウ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,エビヅル,ブドウ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,国外では; ビワモドキ科の記録がある,
