昆虫ID,分類群,大図鑑カタログNo,科名,科和名,亜科名,亜科和名,族名,族和名,亜族名,亜族名_1,属名,亜属名,種小名,亜種小名,著者,公表年,類似種,和名,旧和名,別名,その他の和名,亜種範囲,標準図鑑ステータス,標準図鑑以後の変更,学名,主要食草1,主要食草科1,観察タイプ1,利用部位1,利用ステージ1,出典1,食草備考1,主要食草2,主要食草科2,観察タイプ2,利用部位2,利用ステージ2,出典2,食草備考2,主要食草3,主要食草科3,観察タイプ3,利用部位3,利用ステージ3,出典3,食草備考3,主要食草4,主要食草科4,観察タイプ4,利用部位4,利用ステージ4,出典4,食草備考4,主要食草5,主要食草科5,観察タイプ5,利用部位5,利用ステージ5,出典5,食草備考5,主要食草6,主要食草科6,観察タイプ6,利用部位6,利用ステージ6,出典6,食草備考6,主要食草7,主要食草科7,観察タイプ7,利用部位7,利用ステージ7,出典7,食草備考7,主要食草8,主要食草科8,観察タイプ8,利用部位8,利用ステージ8,出典8,食草備考8,主要食草9,主要食草科9,観察タイプ9,利用部位9,利用ステージ9,出典9,食草備考9,主要食草10,主要食草科10,観察タイプ10,利用部位10,利用ステージ10,出典10,食草備考10,発生時期1,発生時期出典1,発生地域1,発生時期備考1,発生時期2,発生時期出典2,発生地域2,発生時期備考2,幼虫期1,幼虫期出典1,幼虫期備考1,追加食草有無,データソース,総合備考,亜族和名
M0474,蛾類,806,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Gibbovalva,,quadrifasciata,,(Stainton),1862,,クスオビホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0475,蛾類,,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Gibbovalva,,civica,,(Meyrick),1914,,ヤブニッケイホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0476,蛾類,,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Gibbovalva,,urbana,,(Meyrick),1908,,オガタマノキホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0477,蛾類,,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Gibbovalva,,kobusi,,Kumata & Kuroko,1988,,コブシホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0478,蛾類,,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Gibbovalva,,magnoliae,,Kumata & Kuroko,1988,,ホウノキホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0479,蛾類,,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Gibbovalva,,tricuneatella,,(Meyrick),1880,,ガマホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0480,蛾類,804,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Melanocercops,,ficuvorella,,(Yazaki),1926,,イチジクホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0481,蛾類,,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Melanocercops,,phractopa,,(Meyrick),1918,,ガジュマルホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0482,蛾類,810,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Phodoryctis,,caerulea,,(Meyrick),1912,,マメハモグリホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0483,蛾類,,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Phodoryctis,,stephaniae,,Kumata & Kuroko,1988,,ハスノハカズラホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0484,蛾類,,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Borboryctis,,euryae,,Kumata & Kuroko,1988,,ヒサカキホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0485,蛾類,,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Borboryctis,,triplaca,,(Meyrick),1908,,ミスジホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0486,蛾類,797,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Leucospilapteryx,,omissella,,(Stainton),1848,,ヨモギホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0487,蛾類,798,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Leucospilapteryx,,anaphalidis,,Kumata,1965,,ヤマハハコホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0488,蛾類,,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Chrysocercops,,castanopsidis,,Kumata & Kuroko,1988,,シイヒカリバホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0489,蛾類,807,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Telamoptilia,,cathedraea,,(Meyrick),1908,,カバオビホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0490,蛾類,808,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Telamoptilia,,hemistacta,,(Meyrick),1924,,イノコズチホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0491,蛾類,809,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Telamoptilia,,prosacta,,(Meyrick),1918,,サツマイモホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0492,蛾類,,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Telamoptilia,,tiliae,,Kumata & Ermolaev,1988,,オオバボダイジュホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0493,蛾類,811,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Spulerina,,corticicola,,Kumata,1964,,マツノカワホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0494,蛾類,812,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Spulerina,,astaurota,,(Meyrick),1922,,ナシカワホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0495,蛾類,,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Spulerina,,castaneae,,Kumata & Kuroko,1988,,クリカワホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0496,蛾類,,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Spulerina,,virgulata,,Kumata & Kuroko,1988,,クヌギカワホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0497,蛾類,,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Spulerina,,parthenocissi,,Kumata & Kuroko,1988,,ツタホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0498,蛾類,813,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Spulerina,,dissotoma,,(Meyrick),1931,,クズホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0499,蛾類,814,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Dendrorycter,,marmaroides,,Kumata,1978,,ギンモンカワホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0500,蛾類,,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Epicephala,,anthophilia,,Kawakita & Kato,2016,,ウラジロカンコハナホソガ,,,,,出版後の追加,新記録・再分類等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0501,蛾類,,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Epicephala,,bipollenella,,"Li, Wang & Hu",2012,,カキバカンコハナホソガ,,,,,出版後の追加,新記録・再分類等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0502,蛾類,,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Epicephala,,lanceolatella,,Kawakita & Kato,2016,,キールンカンコハナホソガ,,,,,出版後の追加,新記録・再分類等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0503,蛾類,,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Epicephala,,perplexa,,Kawakita & Kato,2016,,キールンカンコワキハナホソガ,,,,,出版後の追加,新記録・再分類等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0504,蛾類,,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Epicephala,,obovatella,,Kawakita & Kato,2016,,カンコハナホソガ,,,,,出版後の追加,新記録・再分類等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0505,蛾類,,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Epicephala,,corruptrix,,Kawakita & Kato,2016,,カンコツレハナホソガ,,,,,出版後の追加,新記録・再分類等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0506,蛾類,,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Epicephala,,vitisidaea,,"Li, Wang & Hu",2012,,オオシマコバンノキハナホソガ,,,,,出版後の追加,新記録・再分類等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0507,蛾類,,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Epicephala,,parasitica,,Kawakita & Kato,2016,,コミカンソウヤドリハナホソガ,,,,,出版後の追加,新記録・再分類等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0508,蛾類,,Gracillariidae,ホソガ科,Gracillariinae,ホソガ亜科,,,,,Epicephala,,nudilingua,,Kawakita & Kato,2016,,ヒメミカンソウヤドリハナホソガ,,,,,出版後の追加,新記録・再分類等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0509,蛾類,815,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Chrysaster,,hagicola,,Kumata,1961,,ギンモンツヤホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0510,蛾類,816,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Neolithocolletis,,hikomonticola,,Kumata,1963,,ミツオビツヤホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0511,蛾類,817,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Hyloconis,,puerariae,,Kumata,1963,,クズツヤホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0512,蛾類,818,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Hyloconis,,desmodii,,Kumata,1963,,ヌスビトハギツヤホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0513,蛾類,819,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Hyloconis,,lespedezae,,Kumata,1963,,ハギツヤホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0514,蛾類,820,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Hyloconis,,wisteriae,,Kumata,1963,,フジツヤホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0515,蛾類,821,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Cameraria,,niphonica,,Kumata,1963,,モミジニセキンホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0516,蛾類,822,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Cameraria,,acericola,,Kumata,1963,,イタヤニセキンホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0517,蛾類,823,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Cameraria,,hikosanensis,,Kumata,1963,,ガマズミニセキンホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0518,蛾類,824,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Phyllonorycter,,strigulatella,,(Zeller),1846,,ハンノチビキンモンホソガ,,ヤマハンノキキンモンホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0519,蛾類,825,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Phyllonorycter,,maculata,,(Kumata),1963,,ナカボシキンモンホソガ,,ナカモンキンホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0520,蛾類,826,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Phyllonorycter,,carpini,,(Kumata),1963,,アカシデキンモンホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0521,蛾類,827,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Phyllonorycter,,ostryae,,(Kumata),1963,,アサダキンモンホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0522,蛾類,828,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Phyllonorycter,,tenebriosa,,(Kumata),1967,,ハシバミキンモンホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0523,蛾類,829,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Phyllonorycter,,hikosana,,(Kumata),1963,,ヒコサンキンモンホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0524,蛾類,830,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Phyllonorycter,,nipponicella,,(Issiki),1930,,クヌギキンモンホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0525,蛾類,,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Phyllonorycter,,similis,,Kumata,1982,,ミスジキンモンホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0526,蛾類,831,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Phyllonorycter,,acutissimae,,(Kumata),1963,,ニセクヌギキンモンホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0527,蛾類,,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Phyllonorycter,,persimilis,,"Fujihara, Sato & Kumata",2001,,カシワミスジキンモンホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0528,蛾類,832,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Phyllonorycter,,nigristella,,(Kumata),1957,,ネジロキンモンホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0529,蛾類,833,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Phyllonorycter,,kamijoi,,(Kumata),1963,,カミジョウキンモンホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0530,蛾類,834,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Phyllonorycter,,pseudolautella,,(Kumata),1963,,ナラキンモンホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0531,蛾類,835,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Phyllonorycter,,pygmaea,,(Kumata),1963,,ヒメキンモンホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0532,蛾類,,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Phyllonorycter,,matsudai,,Kumata,1986,,マツダキンモンホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0533,蛾類,836,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Phyllonorycter,,fagifolia,,(Kumata),1963,,ブナキンモンホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0534,蛾類,837,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Phyllonorycter,,rostrispinosa,,(Kumata),1963,,ハスオビキンモンホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0535,蛾類,838,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Phyllonorycter,,cretata,,(Kumata),1957,,ナカオビキンモンホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0536,蛾類,839,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Phyllonorycter,,mongolicae,,(Kumata),1963,,ミズナラキンモンホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0537,蛾類,840,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Phyllonorycter,,viburni,,(Kumata),1963,,ガマズミキンモンホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0538,蛾類,841,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Phyllonorycter,,turugisana,,(Kumata),1963,,ツルギキンモンホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0539,蛾類,842,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Phyllonorycter,,watanabei,,(Kumata),1963,,ワタナベキンモンホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
M0540,蛾類,843,Gracillariidae,ホソガ科,Lithocolletinae,キンモンホソガ亜科,,,,,Phyllonorycter,,jozanae,,(Kumata),1967,,サンザシキンモンホソガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,
