record_id,insect_id,plant_name,plant_family,observation_type,plant_part,life_stage,reference,notes
90,species-0083,スダジイ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
91,species-0084,コナラ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
92,species-0084,カシワ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
93,species-0084,ナラガシワ,以上ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
94,species-0085,コナラ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
95,species-0085,クヌギ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
96,species-0085,カシワ,以上ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
97,species-0086,コナラ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
98,species-0086,クヌギ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
99,species-0086,カシワ,以上ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
100,species-0087,アカガシ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
101,species-0087,アラカシ,以上ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
102,species-0088,アベマキ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
103,species-0089,クリ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
104,species-0090,カシワ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
105,species-0090,コナラ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
106,species-0090,ミズナラ,以上ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
107,species-0091,カシワ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
108,species-0091,クヌギ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
109,species-0091,クリ,以上ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
110,species-0092,スダジイ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
111,species-0093,コナラ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
112,species-0094,コナラ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
113,species-0094,カシワ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
114,species-0094,ミズナラ,以上ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
115,species-0098,セイヨウミザクラ（桜桃）の枝（バラ科）,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
116,species-0099,コケモモ,ツツジ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
117,species-0100,オトギリソウ,オトギリソウ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
118,species-0111,ヤマナラシ,ヤナギ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
119,species-0113,オニグルミ,クルミ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
120,species-0114,オニグルミ,クルミ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
121,species-0116,イタヤカエデ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
122,species-0116,イロハモミジ,以上ムクロジ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
123,species-0118,キンミズヒキ,バラ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
124,species-0119,シラカンパ,カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
125,species-0119,ナンキンナナカマド,バラ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
126,species-0126,シラカンバ,カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
127,species-0133,クリ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
128,species-0135,ヤマモモ,ヤマモモ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
129,species-0141,ノブドウ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
130,species-0141,サンカクヅル,以上ブドウ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
131,species-0142,ノブドウ,ブドウ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
132,species-0143,ヤマブドウ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
133,species-0143,栽培ブドウ（デラウエア）（ブドウ科）,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
134,species-0144,ミズキ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
135,species-0144,クマノミズキ,以上ミズキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
136,species-0145,ミズキ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
137,species-0145,クマノミズキ,以上ミズキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
138,species-0146,ミズキ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
139,species-0146,クマノミズキ,以上ミズキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
140,species-0147,ヤマブドウ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
141,species-0147,栽培ブドウ（デラウエア）（以上ブドウ科）,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
142,species-0148,不明,ブドウ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
143,species-0149,ヤマブドウ,ブドウ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
144,species-0150,タマアジサイ,アジサイ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
145,species-0151,ヤマアジサイ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
146,species-0151,ツルアジサイ（ゴトウヅル）（以上アジサイ科）,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
147,species-0152,イスノキ,マンサク科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
148,species-0154,サカキ,サカキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
149,species-0155,ムカゴトラノオ,タデ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
150,species-0163,ネズミムギ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
151,species-0163,オオスズメノカタピラ,以上イネ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
152,species-0165,ヤマヤナギ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
153,species-0165,マルバヤナギ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
154,species-0165,ネコヤナギ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
155,species-0165,オオタチヤナギ,以上ヤナギ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
156,species-0172,オトコエシ,オミナエシ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
157,species-0179,オトコエシ,オミナエシ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
158,species-0199,ナラガシワ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
159,species-0199,クヌギ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
160,species-0199,コナラ,以上ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
161,species-0200,ベニバナイチャクソウ,イチャクソウ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
162,species-0201,ガマズミ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
163,species-0201,オオカメノキ,以上スイカズラ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
164,species-0202,オオカメノキ,スイカズラ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
165,species-0204,コバノミツバツツジ,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
166,species-0204,ゴヨウツツジ,以上ツツジ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
167,species-0205,イヌシデ,カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
168,species-0206,クリ,ブナ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
169,species-0207,シラカンバの可能性が高い,,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
170,species-0208,カエデ属,ムクロジ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
171,species-0208,イヌシデ,カバノキ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
172,species-0208,アズキナシ,バラ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
173,species-0208,ネジキ,ツツジ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
174,species-0208,フジ,マメ科,野外（国内）,葉,幼虫,日本産蛾類標準図鑑3,
